GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LogInSample,DBAccess,OrderMapper,186,0,6,0,66,0,8,0,5,0
LogInSample,DBAccess,UserMapper,33,89,0,2,9,26,2,3,2,2
LogInSample,DBAccess,User,15,25,0,0,7,10,4,5,4,5
LogInSample,DBAccess,Connector,11,7,1,1,3,4,2,2,1,2
LogInSample,DBAccess,BrickCalculator,130,0,0,0,22,0,3,0,3,0
LogInSample,DBAccess,Order,34,0,0,0,13,0,7,0,7,0
LogInSample,FunctionLayer,LoginSampleException,0,4,0,0,0,2,0,1,0,1
LogInSample,FunctionLayer,LogicFacade,38,0,0,0,11,0,7,0,7,0
LogInSample,PresentationLayer,FrontController,52,0,0,0,14,0,5,0,5,0
LogInSample,PresentationLayer,makeOrder,5,0,0,0,2,0,2,0,2,0
LogInSample,PresentationLayer,Command,65,0,2,0,13,0,4,0,3,0
LogInSample,PresentationLayer,ShowOrderRedirect,39,0,0,0,11,0,2,0,2,0
LogInSample,PresentationLayer,Register,50,0,2,0,11,0,3,0,2,0
LogInSample,PresentationLayer,CreateOrder,62,0,0,0,16,0,2,0,2,0
LogInSample,PresentationLayer,UnknownCommand,10,0,0,0,3,0,2,0,2,0
LogInSample,PresentationLayer,Login,69,0,2,0,18,0,3,0,2,0
LogInSample,PresentationLayer,ShowAllOrders,35,0,0,0,11,0,2,0,2,0
LogInSample,PresentationLayer,ShowOrder,41,0,0,0,11,0,2,0,2,0
